ticker,company,scope1_tco2e,scope2_market_tco2e,reporting_year,third_party_assured,source,source_note
AAPL,Apple Inc.,55200,1100,2024,TRUE,"Apple Environmental Progress Report 2025 (FY2024)","Corporate operations only. Scope 2 market-based is near zero because Apple matches 100% of corporate electricity with renewables."
MSFT,Microsoft Corporation,143500,259000,2024,TRUE,"Microsoft 2025 Environmental Sustainability Report (FY2024)","Fiscal year ended June 2024. Scope 2 reported on a market-based basis."
GOOGL,Alphabet Inc.,79400,3423000,2023,TRUE,"Google 2024 Environmental Report (FY2023)","FY2023 used because it is the last year with a fully reconciled market-based Scope 2 figure. Data-centre load dominates Scope 2."
AMZN,"Amazon.com, Inc.",15130000,2800000,2024,TRUE,"Amazon 2024 Sustainability Report (FY2024)","Scope 1 is dominated by the owned delivery fleet and gas use in fulfilment centres."
META,"Meta Platforms, Inc.",47500,1400,2024,TRUE,"Meta 2025 Sustainability Report (FY2024)","Scope 2 market-based is near zero under 100% renewable electricity matching."
XOM,Exxon Mobil Corporation,91000000,9000000,2024,TRUE,"ExxonMobil Advancing Climate Solutions 2025 Progress Report (FY2024)","Equity-basis operated and non-operated emissions."
CVX,Chevron Corporation,53000000,2000000,2024,TRUE,"Chevron Corporate Sustainability Report 2024 (FY2024)","Equity basis. Excludes Scope 3 use of sold products (~616 MtCO2e)."
COP,ConocoPhillips,19000000,1000000,2024,TRUE,"ConocoPhillips 2024 Sustainability Report (FY2024)","Gross operated basis."
NEE,"NextEra Energy, Inc.",43410000,0,2024,TRUE,"NextEra Energy 2024 GHG Inventory with Third-Party Assurance Statement","Independently assured. Scope 2 is immaterial for a generator that consumes its own output."
DUK,Duke Energy Corporation,72000000,0,2023,TRUE,"Duke Energy 2024 Climate Report (FY2023)","Owned generation Scope 1."
SO,Southern Company,79000000,0,2024,TRUE,"Southern Company 2024 Statement of GHG Emissions","Third-party verified statement."
AEP,American Electric Power Company,48000000,0,2023,TRUE,"AEP 2024 Climate Impact Analysis (FY2023)","Owned and purchased generation Scope 1."
JPM,JPMorgan Chase & Co.,60000,847773,2023,TRUE,"JPMorgan Chase 2024 Operational GHG Emissions and Electric Power Use disclosure (FY2023)","Operational footprint only (907,773 tCO2e total). Excludes Scope 3 Category 15 financed emissions by design."
BAC,Bank of America Corporation,57100,0,2022,TRUE,"Bank of America 2023 ESG Performance Data Summary (FY2022)","Scope 2 market-based is zero under 100% renewable electricity purchasing. Excludes financed emissions."
JNJ,Johnson & Johnson,314690,116240,2024,TRUE,"Johnson & Johnson 2024 Health for Humanity Report (FY2024)","Scope 2 reported on a market-based basis."
PFE,Pfizer Inc.,613218,230000,2024,FALSE,"Pfizer 2024 ESG Report (FY2024)","Scope 2 market-based figure is approximate; Pfizer reports both location- and market-based."
PG,Procter & Gamble Company,1318000,236000,2024,TRUE,"P&G 2024 Citizenship Report (FY2024)","Fiscal year ended June 2024."
KO,The Coca-Cola Company,690000,360000,2024,FALSE,"The Coca-Cola Company 2024 Environmental Update (FY2024)","Company-owned operations only. Excludes independent bottling partners, which carry most of the Coca-Cola system footprint."
PEP,"PepsiCo, Inc.",2900000,1400000,2023,TRUE,"PepsiCo 2023 ESG Summary (FY2023)","Includes owned beverage and snack manufacturing plus the owned distribution fleet."
WMT,Walmart Inc.,7500000,8150000,2024,TRUE,"Walmart FY2025 ESG Highlights (calendar 2024)","Combined Scope 1+2 of ~15.65 MtCO2e reported; split here is indicative."
HD,"The Home Depot, Inc.",320000,1450000,2024,FALSE,"The Home Depot 2024 CDP Climate Change Response (FY2024)","US store and distribution-centre energy dominates Scope 2."
CAT,Caterpillar Inc.,1100000,350000,2024,TRUE,"Caterpillar 2024 Sustainability Report (FY2024)","Total operational GHG of ~1.45 MtCO2e. Scope 3 use-phase is roughly two orders of magnitude larger."
BA,The Boeing Company,700000,600000,2024,TRUE,"Boeing 2025 Sustainability Report (calendar 2024)","Total operational GHG of ~1.3 MtCO2e across manufacturing and worksites."
T,AT&T Inc.,1200000,2600000,2023,TRUE,"AT&T 2023 ESG Summary (FY2023)","Network electricity consumption dominates Scope 2."
VZ,Verizon Communications Inc.,900000,2900000,2023,TRUE,"Verizon 2023 ESG Report (FY2023)","Network electricity consumption dominates Scope 2."
LIN,Linde plc,26000000,9000000,2023,TRUE,"Linde 2023 Sustainable Development Report (FY2023)","Hydrogen and industrial gas production is energy-intensive; Scope 2 reflects large purchased-power volumes."
NUE,Nucor Corporation,7900000,6100000,2023,TRUE,"Nucor 2023 Sustainability Report (FY2023)","Electric-arc furnace steelmaking: lower Scope 1 than blast-furnace peers but high purchased electricity."
UNP,Union Pacific Corporation,10800000,150000,2024,TRUE,"Union Pacific 2024 Climate Action Plan (FY2024)","Diesel locomotive fuel is essentially all of Scope 1."
INTC,Intel Corporation,2800000,1300000,2023,TRUE,"Intel 2023-24 Corporate Responsibility Report (FY2023)","Semiconductor fabrication: process fluorinated gases plus very large purchased-power volumes."
TSLA,"Tesla, Inc.",350000,1100000,2023,FALSE,"Tesla 2023 Impact Report (FY2023)","Vehicle and battery manufacturing. Excludes avoided emissions claims."
MCD,McDonald's Corporation,120000,480000,2023,FALSE,"McDonald's 2023 Purpose & Impact Report (FY2023)","Company-operated restaurants and offices only; franchised restaurants sit in Scope 3."
UPS,"United Parcel Service, Inc.",14200000,900000,2023,TRUE,"UPS 2023 Sustainability Report (FY2023)","Owned air and ground fleet fuel dominates Scope 1."
